"x"
100
0
5
12
14
25
66
49
57
71
76
110
278
363
445
662
1014
1441
1414
1977
2813
3682
4750
6205
4079
5340
7094
8170
9058
10068
4572
5133
5967
6019
5880
5361
5192
4880
4665
4508
4377
4110
4032
3797
3655
3626
3497
3328
3185
3000
2981
2813
2859
2693
2487
2351
2297
2305
2236
2038
2028
1958
1800
1777
1753
1665
1562
1546
1483
1395
1342
1390
1317
1119
1158
1164
1110
1009
1003
988
913
832
865
814
838
744
704
717
702
576
635
596
586
541
524
554
509
460
429
450
