"x"
5
0
0
2
0
1
5
10
3
6
10
14
12
16
28
37
33
38
48
63
84
100
106
161
181
216
263
335
415
508
605
789
962
1153
1440
1812
2279
2819
3498
4266
5396
6631
8172
10475
12554
15828
19590
24152
30035
37304
