"x"
100
2
29
159
268
347
601
1114
1921
3166
5441
9248
16035
27335
46765
6018
10147
15159
18343
18152
16894
15584
15353
15268
15376
14874
14419
14346
14049
13812
13649
13281
13049
12870
12608
12527
12087
11991
11645
11477
11293
10968
10843
10662
10466
10355
10044
9961
9594
9510
9378
9069
9083
8822
8659
8487
8334
8137
8161
7889
7764
7602
7554
7434
7145
7164
7105
6573
6716
6578
6442
6325
6167
6009
6029
5839
5677
5513
5430
5289
5234
5248
4976
4892
4743
4848
4731
4634
4478
4234
4359
4216
4059
3980
4029
3908
3815
3558
3835
3467
