"V1","V2"
0,0
1,448
2,1990
3,10550
4,44996
5,206968
6,1191847
7,4354062
8,11903777
9,17804246
10,8185996
11,2979352
12,799377
13,291914
14,85919
15,34220
16,16620
17,7719
18,4689
19,2231
20,1265
21,808
22,537
23,366
24,278
25,192
